URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,DiscountOffercleaned,SizeOption,Ratings,Reviews,standard discount,,                            Myntra Sales Analysis,,,,,
https://www.myntra.com/tops/kassually/kassually-blue-floral-cinched-waist-top-with-puff-sleeves/11535928/buy,11535928,KASSUALLY,Western,tops,Women,,1299,62,6200.0%,"XS, S, M, L, XL, XXL",4.3,992,,,"3.Count the number of products available in size ""M.""",,,,,
https://www.myntra.com/tops/rare/rare-women-maroon-striped-top/6552977/buy,6552977,RARE,Western,tops,Women,,1299,57,5700.0%,"S, M, L, XL",4.2,991,,,3344,,,,,
https://www.myntra.com/trousers/zastraa/zastraa-women-maroon-slim-fit-peg-trousers/9476129/buy,9476129,Zastraa,Western,trousers,Women,,2699,70,7000.0%,"26, 28, 30, 32, 34, 36",4.1,991,,,"4.Create a new column to label the products as ""High Discount"" if the discount offer is greater than 50% OFF, otherwise",,,,,
https://www.myntra.com/shorts/wisstler/wisstler-women-navy--pink-chevron-print-regular-fit-shorts/2017530/buy,2017530,WISSTLER,Western,shorts,Women,,899,61,6100.0%,"26, 28, 30, 32, 34, 36",4,991,,,,,,,,
https://www.myntra.com/kurtas/sangria/sangria-women-black--green-printed-straight-kurta/11173948/buy,11173948,Sangria,Plus Size,kurtas,Women,359,899,60,6000.0%,"XS, S, M, L, XL, XXL, 3XL",4,990,,,,,,,,
https://www.myntra.com/shorts/roadster/roadster-women-blue-solid-regular-fit-denim-shorts/11118428/buy,11118428,Roadster,Western,shorts,Women,,1199,55,5500.0%,"26, 28, 30, 32, 34, 36",4.3,990,,,,,,,,
https://www.myntra.com/tshirts/roadster/roadster-women-green--teal-green-pack-of-2-printed-round-neck-t-shirts/17383362/buy,17383362,Roadster,Western,tshirts,Women,,1598,50,5000.0%,"L, M, S, XS, XL",4.2,990,,,                                                                               Data Retrieval and Lookup,,,,,
https://www.myntra.com/dresses/vishudh/vishudh-women-navy-blue--green-maxi-dress/9971493/buy,9971493,Vishudh,Western,dresses,Women,,2349,65,6500.0%,"S, M, L, XL, XXL",4.4,990,,,,,,,,
https://www.myntra.com/jumpsuit/cottinfab/cottinfab-olive-green-solid-cold-shoulder-jumpsuit/7846797/buy,7846797,Cottinfab,Western,jumpsuit,Women,,2449,65,6500.0%,"S, M, L, XL, XXL",4.3,990,,,"1.Find the ""DiscountPrice"" for the product with the Product ID ""6744434"" using the INDEX and MATCH functions.",,,,,
https://www.myntra.com/jumpsuit/quiero/quiero-women-maroon-wrap-detail-jumpsuit/10771696/buy,10771696,QUIERO,Western,jumpsuit,Women,,2959,55,5500.0%,"XS, S, M, L, XL",4.3,990,,,599,,,,,
https://www.myntra.com/tshirts/roadster/roadster-women-rust-pink--white-colourblocked-round-neck-pure-cotton-t-shirt-with-twisted-detail/10969948/buy,10969948,Roadster,Western,tshirts,Women,,899,60,6000.0%,"XS, S, M, L, XL",4.1,990,,,,,,,,
https://www.myntra.com/bath-robe/elevanto/elevanto-women-fuchsia-pink-solid-bath-robe/11938872/buy,11938872,ELEVANTO,Lingerie & Sleep Wear,bath-robe,Women,489,999,51,5100.0%,Onesize,4.2,989,,, 2.Utilize nested xlookup to find any column’s detail of a product with it’s product id.,,,,,
https://www.myntra.com/track-pants/tokyo-talkies/tokyo-talkies-women-black-solid-casual-joggers/14154054/buy,14154054,Tokyo Talkies,Western,track-pants,Women,,1199,49,4900.0%,"S, M, L, XL",4.3,989,,,8439415,,,,,
https://www.myntra.com/jeans/wrogn/wrogn-men-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/2477061/buy,2477061,WROGN,Bottom Wear,jeans,Men,1539,2799,45,4500.0%,"28, 30, 32, 34, 36, 38",4,988,,,,,,,,
https://www.myntra.com/jeans/wrogn/wrogn-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/10187401/buy,10187401,WROGN,Bottom Wear,jeans,Men,1429,2599,45,4500.0%,"28, 30, 32, 34, 36, 38",4.1,988,,,SizeOption,,,,,
https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-olive-green-camo-athleisure-track-pants/6791064/buy,6791064,HRX by Hrithik Roshan,Sports Wear,track-pants,Men,759,1899,60,6000.0%,"S, M, L, XL, XXL",4,988,,,,,,,,
https://www.myntra.com/shirts/roadster/roadster-men-sea-green-pure-cotton-sustainable-casual-shirt/12918912/buy,12918912,Roadster,Topwear,shirts,Men,599,1199,50,5000.0%,"38, 40, 42, 44, 46, 48",4.3,988,,,"S, M, L, XL",,,,,
https://www.myntra.com/tights/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-black-self-striped-seamless-rapid-dry-yoga-tights/11245584/buy,11245584,HRX by Hrithik Roshan,Sports Wear,tights,Women,594,1699,65,6500.0%,"XS, S, M, L, XL, XXL",4,988,,,,,,,,
